2026-07-20 18:30:00.001 [INFO] [System] COWdeploy Ultimate Pipelined Benchmark (DMA-BUF Zero-Copy)
2026-07-20 18:30:00.001 [INFO] [System] Hardware: Qualcomm Dragonwing RB3 Gen2 (QCM6490)
2026-07-20 18:30:00.001 [INFO] [System] OS: Ubuntu 24.04.2 LTS aarch64
2026-07-20 18:30:00.001 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:30:00.001 [INFO] [Pipeline] Configuration: 
    - Architecture: 3-Stage Asynchronous Pipeline (Decode -> Detect -> Extract)
    - Zero-Copy: DMA-BUF (ION Memory) FD passing enabled
    - Detection Backend: TFLite (Hexagon DSP Delegate) [W8A8]
    - Feature Extractor Backend: TFLite (Hexagon DSP Delegate) [W8A8]
2026-07-20 18:30:00.056 [INFO] [Video] Initializing Adreno GPU V4L2 Hardware Decoder...
2026-07-20 18:30:00.071 [INFO] [Video] V4L2 Hardware Decoder initialized. DMA-BUF Export enabled.
2026-07-20 18:30:00.116 [INFO] [Accelerator] Loading Hexagon DSP drivers and TFLite delegates...
2026-07-20 18:30:00.236 [INFO] [Accelerator] TFLite Context loaded successfully to CDSP. DMA-BUF Import enabled.
2026-07-20 18:30:00.241 [INFO] [Pipeline] Starting multi-threaded pipeline processing loop...
2026-07-20 18:30:00.274 [DEBUG] [Pipeline-Sink] Frame 0000 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: Skipped | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 20.0ms
2026-07-20 18:30:12.674 [DEBUG] [Pipeline-Sink] Frame 0372 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 32.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.8ms
2026-07-20 18:30:12.707 [DEBUG] [Pipeline-Sink] Frame 0373 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 11.6ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.4ms
2026-07-20 18:30:12.740 [DEBUG] [Pipeline-Sink] Frame 0374 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.2ms
2026-07-20 18:30:12.774 [DEBUG] [Pipeline-Sink] Frame 0375 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 34.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 55.8ms
2026-07-20 18:30:12.807 [DEBUG] [Pipeline-Sink] Frame 0376 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: 33.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.9ms
2026-07-20 18:30:12.840 [DEBUG] [Pipeline-Sink] Frame 0377 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 30.9ms
2026-07-20 18:30:12.874 [DEBUG] [Pipeline-Sink] Frame 0378 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 23.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.9ms
2026-07-20 18:30:12.907 [DEBUG] [Pipeline-Sink] Frame 0379 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 11.4ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.5ms
2026-07-20 18:30:12.940 [DEBUG] [Pipeline-Sink] Frame 0380 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 33.3ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.3ms
2026-07-20 18:30:12.974 [DEBUG] [Pipeline-Sink] Frame 0381 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 33.0ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.6ms
2026-07-20 18:30:13.007 [DEBUG] [Pipeline-Sink] Frame 0382 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 21.6ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.0ms
2026-07-20 18:30:13.040 [DEBUG] [Pipeline-Sink] Frame 0383 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 33.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.6ms
2026-07-20 18:30:13.074 [DEBUG] [Pipeline-Sink] Frame 0384 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 32.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.7ms
2026-07-20 18:30:13.107 [DEBUG] [Pipeline-Sink] Frame 0385 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 11.4ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.2ms
2026-07-20 18:30:13.140 [DEBUG] [Pipeline-Sink] Frame 0386 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 22.4ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.4ms
2026-07-20 18:30:13.174 [DEBUG] [Pipeline-Sink] Frame 0387 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: 22.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.7ms
2026-07-20 18:30:13.207 [DEBUG] [Pipeline-Sink] Frame 0388 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 23.2ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.3ms
2026-07-20 18:30:13.240 [DEBUG] [Pipeline-Sink] Frame 0389 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 11.4ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.9ms
2026-07-20 18:30:13.274 [DEBUG] [Pipeline-Sink] Frame 0390 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 22.4ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.2ms
2026-07-20 18:30:13.307 [DEBUG] [Pipeline-Sink] Frame 0391 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 22.5ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.7ms
2026-07-20 18:30:13.340 [DEBUG] [Pipeline-Sink] Frame 0392 ready | Decode[GPU_Thread]: 11.8ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 22.3ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.4ms
2026-07-20 18:30:13.374 [DEBUG] [Pipeline-Sink] Frame 0393 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 11.0ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.3ms
2026-07-20 18:30:13.407 [DEBUG] [Pipeline-Sink] Frame 0394 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 11.4ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.0ms
2026-07-20 18:30:13.440 [DEBUG] [Pipeline-Sink] Frame 0395 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 22.7ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.7ms
2026-07-20 18:30:13.474 [DEBUG] [Pipeline-Sink] Frame 0396 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 32.9ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.7ms
2026-07-20 18:30:13.507 [DEBUG] [Pipeline-Sink] Frame 0397 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 34.4ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.2ms
2026-07-20 18:30:13.540 [DEBUG] [Pipeline-Sink] Frame 0398 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 32.9ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.3ms
2026-07-20 18:30:13.574 [DEBUG] [Pipeline-Sink] Frame 0399 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 11.2ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.2ms
2026-07-20 18:30:13.607 [DEBUG] [Pipeline-Sink] Frame 0400 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 34.1ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 55.1ms
2026-07-20 18:30:13.640 [DEBUG] [Pipeline-Sink] Frame 0401 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: 22.8ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.2ms
2026-07-20 18:30:13.674 [DEBUG] [Pipeline-Sink] Frame 0402 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 33.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.5ms
2026-07-20 18:30:13.707 [DEBUG] [Pipeline-Sink] Frame 0403 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 23.0ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.7ms
2026-07-20 18:30:13.740 [DEBUG] [Pipeline-Sink] Frame 0404 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 22.3ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.8ms
2026-07-20 18:30:13.774 [DEBUG] [Pipeline-Sink] Frame 0405 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 23.2ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.7ms
2026-07-20 18:30:13.807 [DEBUG] [Pipeline-Sink] Frame 0406 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 34.1ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.0ms
2026-07-20 18:30:13.840 [DEBUG] [Pipeline-Sink] Frame 0407 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 32.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.7ms
2026-07-20 18:30:13.874 [DEBUG] [Pipeline-Sink] Frame 0408 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 11.0ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.3ms
2026-07-20 18:30:13.907 [DEBUG] [Pipeline-Sink] Frame 0409 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 11.5ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.6ms
2026-07-20 18:30:13.940 [DEBUG] [Pipeline-Sink] Frame 0410 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 34.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.9ms
2026-07-20 18:30:13.974 [DEBUG] [Pipeline-Sink] Frame 0411 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.1ms
2026-07-20 18:30:14.007 [DEBUG] [Pipeline-Sink] Frame 0412 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.2ms
2026-07-20 18:30:14.040 [DEBUG] [Pipeline-Sink] Frame 0413 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 22.3ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.6ms
2026-07-20 18:30:14.074 [DEBUG] [Pipeline-Sink] Frame 0414 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 33.7ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.6ms
2026-07-20 18:30:14.107 [DEBUG] [Pipeline-Sink] Frame 0415 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.2ms | DINOv2[DSP_Thread]: 11.1ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.4ms
2026-07-20 18:30:14.140 [DEBUG] [Pipeline-Sink] Frame 0416 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 11.5ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.2ms
2026-07-20 18:30:14.174 [DEBUG] [Pipeline-Sink] Frame 0417 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 32.9ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.7ms
2026-07-20 18:30:14.207 [DEBUG] [Pipeline-Sink] Frame 0418 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 22.4ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.4ms
2026-07-20 18:30:14.240 [DEBUG] [Pipeline-Sink] Frame 0419 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 32.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.3ms
2026-07-20 18:30:14.274 [DEBUG] [Pipeline-Sink] Frame 0420 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 34.0ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.4ms
2026-07-20 18:30:14.307 [DEBUG] [Pipeline-Sink] Frame 0421 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 34.3ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.9ms
2026-07-20 18:30:14.340 [DEBUG] [Pipeline-Sink] Frame 0422 ready | Decode[GPU_Thread]: 11.5ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 11.2ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.4ms
2026-07-20 18:30:14.374 [DEBUG] [Pipeline-Sink] Frame 0423 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 9.0ms | DINOv2[DSP_Thread]: 22.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.5ms
2026-07-20 18:30:14.407 [DEBUG] [Pipeline-Sink] Frame 0424 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 23.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.8ms
2026-07-20 18:30:14.440 [DEBUG] [Pipeline-Sink] Frame 0425 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 11.2ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.6ms
2026-07-20 18:30:14.474 [DEBUG] [Pipeline-Sink] Frame 0426 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 11.1ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.2ms
2026-07-20 18:30:14.507 [DEBUG] [Pipeline-Sink] Frame 0427 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 32.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.4ms
2026-07-20 18:30:14.540 [DEBUG] [Pipeline-Sink] Frame 0428 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 34.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 55.0ms
2026-07-20 18:30:14.574 [DEBUG] [Pipeline-Sink] Frame 0429 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 11.0ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.2ms
2026-07-20 18:30:14.607 [DEBUG] [Pipeline-Sink] Frame 0430 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 32.6ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.6ms
2026-07-20 18:30:14.640 [DEBUG] [Pipeline-Sink] Frame 0431 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 34.7ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.9ms
2026-07-20 18:30:14.674 [DEBUG] [Pipeline-Sink] Frame 0432 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 30.9ms
2026-07-20 18:30:14.707 [DEBUG] [Pipeline-Sink] Frame 0433 ready | Decode[GPU_Thread]: 11.8ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 11.3ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.7ms
2026-07-20 18:30:14.740 [DEBUG] [Pipeline-Sink] Frame 0434 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 22.7ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.4ms
2026-07-20 18:30:14.774 [DEBUG] [Pipeline-Sink] Frame 0435 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 34.0ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 54.1ms
2026-07-20 18:30:14.807 [DEBUG] [Pipeline-Sink] Frame 0436 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 21.8ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 41.5ms
2026-07-20 18:30:14.840 [DEBUG] [Pipeline-Sink] Frame 0437 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 22.8ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.8ms
2026-07-20 18:30:14.874 [DEBUG] [Pipeline-Sink] Frame 0438 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 22.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.4ms
2026-07-20 18:30:14.907 [DEBUG] [Pipeline-Sink] Frame 0439 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 23.2ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.6ms
2026-07-20 18:30:14.940 [DEBUG] [Pipeline-Sink] Frame 0440 ready | Decode[GPU_Thread]: 11.3ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 11.0ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.4ms
2026-07-20 18:30:14.974 [DEBUG] [Pipeline-Sink] Frame 0441 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 11.0ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.5ms
2026-07-20 18:30:15.007 [DEBUG] [Pipeline-Sink] Frame 0442 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 22.8ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.3ms
2026-07-20 18:30:15.040 [DEBUG] [Pipeline-Sink] Frame 0443 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 32.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 52.9ms
2026-07-20 18:30:15.074 [DEBUG] [Pipeline-Sink] Frame 0444 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 10.9ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.3ms
2026-07-20 18:30:15.107 [DEBUG] [Pipeline-Sink] Frame 0445 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 11.1ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 32.2ms
2026-07-20 18:30:15.140 [DEBUG] [Pipeline-Sink] Frame 0446 ready | Decode[GPU_Thread]: 11.4ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 23.0ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 44.1ms
2026-07-20 18:30:15.174 [DEBUG] [Pipeline-Sink] Frame 0447 ready | Decode[GPU_Thread]: 10.9ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 22.9ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.3ms
2026-07-20 18:30:15.207 [DEBUG] [Pipeline-Sink] Frame 0448 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 22.0ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.5ms
2026-07-20 18:30:15.240 [DEBUG] [Pipeline-Sink] Frame 0449 ready | Decode[GPU_Thread]: 10.5ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 22.0ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.3ms
2026-07-20 18:30:15.274 [DEBUG] [Pipeline-Sink] Frame 0450 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 22.9ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 43.1ms
2026-07-20 18:30:15.307 [DEBUG] [Pipeline-Sink] Frame 0451 ready | Decode[GPU_Thread]: 11.6ms | YOLO[DSP_Thread]: 8.9ms | DINOv2[DSP_Thread]: 33.7ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 55.0ms
2026-07-20 18:30:15.340 [DEBUG] [Pipeline-Sink] Frame 0452 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 11.6ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.4ms
2026-07-20 18:30:15.374 [DEBUG] [Pipeline-Sink] Frame 0453 ready | Decode[GPU_Thread]: 11.7ms | YOLO[DSP_Thread]: 8.4ms | DINOv2[DSP_Thread]: 34.3ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 55.2ms
2026-07-20 18:30:15.407 [DEBUG] [Pipeline-Sink] Frame 0454 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 32.5ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.1ms
2026-07-20 18:30:15.440 [DEBUG] [Pipeline-Sink] Frame 0455 ready | Decode[GPU_Thread]: 11.0ms | YOLO[DSP_Thread]: 8.6ms | DINOv2[DSP_Thread]: 21.9ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.2ms
2026-07-20 18:30:15.474 [DEBUG] [Pipeline-Sink] Frame 0456 ready | Decode[GPU_Thread]: 11.2ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 11.2ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.7ms
2026-07-20 18:30:15.507 [DEBUG] [Pipeline-Sink] Frame 0457 ready | Decode[GPU_Thread]: 10.8ms | YOLO[DSP_Thread]: 8.7ms | DINOv2[DSP_Thread]: 33.2ms (3 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 53.6ms
2026-07-20 18:30:15.540 [DEBUG] [Pipeline-Sink] Frame 0458 ready | Decode[GPU_Thread]: 10.6ms | YOLO[DSP_Thread]: 8.8ms | DINOv2[DSP_Thread]: 11.4ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.7ms
2026-07-20 18:30:15.574 [DEBUG] [Pipeline-Sink] Frame 0459 ready | Decode[GPU_Thread]: 10.7ms | YOLO[DSP_Thread]: 8.5ms | DINOv2[DSP_Thread]: 22.1ms (2 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 42.1ms
2026-07-20 18:30:15.607 [DEBUG] [Pipeline-Sink] Frame 0460 ready | Decode[GPU_Thread]: 11.1ms | YOLO[DSP_Thread]: 8.3ms | DINOv2[DSP_Thread]: 10.8ms (1 crops) | Zero-Copy Overhead: 0.0ms | End-to-End Latency: 31.0ms
