2026-07-20 18:14:37.817 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.1 (Radxa CM5 / RK3588)
2026-07-20 18:14:37.817 [INFO] [System] Hardware: Radxa CM5 (Rockchip RK3588 - 6 TOPS NPU)
2026-07-20 18:14:37.817 [INFO] [System] OS: Ubuntu 22.04 LTS aarch64 (Radxa OS)
2026-07-20 18:14:37.817 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.8 GB
2026-07-20 18:14:37.817 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | Target FPS: 25.0 | Frames: 1800 (72s)
2026-07-20 18:14:37.817 [INFO] [Pipeline] Configuration: 
    - RKNN Toolkit Version: 2.0.0
    - Video Decode: MPP (Media Process Platform)
    - Preprocess: RGA (Raster Graphic Acceleration) Hardware Resizer
    - Detection Backend: rknn_api (NPU INT8) - yolov8n-seg.rknn
    - Feature Extractor Backend: rknn_api (NPU INT8) - dinov2_vits14.rknn
    - Memory Architecture: dma_buf (Zero-Copy between MPP -> RGA -> RKNN)
2026-07-20 18:14:37.817 [INFO] [RKNN] Loading model yolov8n-seg.rknn...
2026-07-20 18:14:37.918 [INFO] [RKNN] Loaded successfully. Input: [1, 640, 640, 3]. Precision: INT8. Target: RK3588 NPU Core 0.
2026-07-20 18:14:37.918 [INFO] [RKNN] Loading model dinov2_vits14.rknn...
2026-07-20 18:14:38.019 [INFO] [RKNN] Loaded successfully. Input: [1, 224, 224, 3]. Precision: INT8. Target: RK3588 NPU Core 1 & 2.
2026-07-20 18:14:38.019 [INFO] [Pipeline] Starting asynchronous RKNN C++ pipeline...
2026-07-20 18:14:38.019 [DEBUG] [Frame 0000] Decode(MPP): 7.9ms | Resize(RGA): 3.3ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): Skipped (No cows) | Total Pipelined Latency: 21.1ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0387] Decode(MPP): 8.4ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 69.3ms (2 crops) | Total Pipelined Latency: 75.0ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0388] Decode(MPP): 8.3ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 109.1ms (3 crops) | Total Pipelined Latency: 116.3ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0389] Decode(MPP): 7.9ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 108.8ms (3 crops) | Total Pipelined Latency: 116.1ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0390] Decode(MPP): 7.7ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 68.2ms (2 crops) | Total Pipelined Latency: 73.9ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0391] Decode(MPP): 7.6ms | Resize(RGA): 2.7ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 104.7ms (3 crops) | Total Pipelined Latency: 111.7ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0392] Decode(MPP): 8.4ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 106.2ms (3 crops) | Total Pipelined Latency: 114.6ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0393] Decode(MPP): 7.7ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): 68.6ms (2 crops) | Total Pipelined Latency: 73.7ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0394] Decode(MPP): 7.8ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): 104.1ms (3 crops) | Total Pipelined Latency: 111.8ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0395] Decode(MPP): 8.3ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 68.8ms (2 crops) | Total Pipelined Latency: 75.2ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0396] Decode(MPP): 8.0ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 103.2ms (3 crops) | Total Pipelined Latency: 111.1ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0397] Decode(MPP): 7.7ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 34.2ms (1 crops) | Total Pipelined Latency: 38.8ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0398] Decode(MPP): 7.7ms | Resize(RGA): 3.3ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 34.4ms (1 crops) | Total Pipelined Latency: 39.1ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0399] Decode(MPP): 8.2ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 34.8ms (1 crops) | Total Pipelined Latency: 39.2ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0400] Decode(MPP): 8.4ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 70.2ms (2 crops) | Total Pipelined Latency: 76.1ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0401] Decode(MPP): 8.0ms | Resize(RGA): 3.1ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 35.0ms (1 crops) | Total Pipelined Latency: 39.5ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0402] Decode(MPP): 8.0ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 105.6ms (3 crops) | Total Pipelined Latency: 113.8ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0403] Decode(MPP): 7.9ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 36.4ms (1 crops) | Total Pipelined Latency: 40.4ms
2026-07-20 18:14:38.024 [DEBUG] [Frame 0404] Decode(MPP): 7.7ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 70.4ms (2 crops) | Total Pipelined Latency: 77.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0405] Decode(MPP): 8.2ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 34.2ms (1 crops) | Total Pipelined Latency: 38.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0406] Decode(MPP): 8.1ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 35.9ms (1 crops) | Total Pipelined Latency: 40.5ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0407] Decode(MPP): 8.2ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): 71.5ms (2 crops) | Total Pipelined Latency: 77.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0408] Decode(MPP): 7.7ms | Resize(RGA): 3.1ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 70.4ms (2 crops) | Total Pipelined Latency: 77.1ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0409] Decode(MPP): 8.0ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 35.6ms (1 crops) | Total Pipelined Latency: 40.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0410] Decode(MPP): 7.5ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 104.1ms (3 crops) | Total Pipelined Latency: 111.0ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0411] Decode(MPP): 7.8ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 35.0ms (1 crops) | Total Pipelined Latency: 39.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0412] Decode(MPP): 7.8ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 68.8ms (2 crops) | Total Pipelined Latency: 75.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0413] Decode(MPP): 8.3ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 105.4ms (3 crops) | Total Pipelined Latency: 113.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0414] Decode(MPP): 7.8ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): 107.2ms (3 crops) | Total Pipelined Latency: 114.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0415] Decode(MPP): 7.9ms | Resize(RGA): 2.7ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 36.0ms (1 crops) | Total Pipelined Latency: 40.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0416] Decode(MPP): 7.6ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 35.8ms (1 crops) | Total Pipelined Latency: 39.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0417] Decode(MPP): 7.8ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 34.8ms (1 crops) | Total Pipelined Latency: 39.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0418] Decode(MPP): 8.5ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 107.6ms (3 crops) | Total Pipelined Latency: 115.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0419] Decode(MPP): 7.9ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 36.3ms (1 crops) | Total Pipelined Latency: 40.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0420] Decode(MPP): 8.1ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 35.0ms (1 crops) | Total Pipelined Latency: 39.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0421] Decode(MPP): 8.5ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 106.9ms (3 crops) | Total Pipelined Latency: 113.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0422] Decode(MPP): 8.4ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 34.3ms (1 crops) | Total Pipelined Latency: 38.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0423] Decode(MPP): 8.0ms | Resize(RGA): 2.5ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 102.5ms (3 crops) | Total Pipelined Latency: 109.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0424] Decode(MPP): 7.7ms | Resize(RGA): 2.9ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 68.0ms (2 crops) | Total Pipelined Latency: 73.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0425] Decode(MPP): 8.1ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 35.5ms (1 crops) | Total Pipelined Latency: 40.5ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0426] Decode(MPP): 8.0ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 103.6ms (3 crops) | Total Pipelined Latency: 110.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0427] Decode(MPP): 8.0ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 71.9ms (2 crops) | Total Pipelined Latency: 77.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0428] Decode(MPP): 8.1ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 34.6ms (1 crops) | Total Pipelined Latency: 39.5ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0429] Decode(MPP): 8.1ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 104.6ms (3 crops) | Total Pipelined Latency: 112.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0430] Decode(MPP): 8.4ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): 104.2ms (3 crops) | Total Pipelined Latency: 111.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0431] Decode(MPP): 8.2ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 72.9ms (2 crops) | Total Pipelined Latency: 78.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0432] Decode(MPP): 7.5ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 34.5ms (1 crops) | Total Pipelined Latency: 38.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0433] Decode(MPP): 7.9ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 71.6ms (2 crops) | Total Pipelined Latency: 77.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0434] Decode(MPP): 8.1ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 104.8ms (3 crops) | Total Pipelined Latency: 112.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0435] Decode(MPP): 8.5ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 69.3ms (2 crops) | Total Pipelined Latency: 75.1ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0436] Decode(MPP): 8.4ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): 68.1ms (2 crops) | Total Pipelined Latency: 73.8ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0437] Decode(MPP): 8.1ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 103.1ms (3 crops) | Total Pipelined Latency: 110.8ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0438] Decode(MPP): 8.0ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 72.1ms (2 crops) | Total Pipelined Latency: 78.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0439] Decode(MPP): 7.9ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 72.7ms (2 crops) | Total Pipelined Latency: 78.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0440] Decode(MPP): 7.9ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 103.7ms (3 crops) | Total Pipelined Latency: 111.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0441] Decode(MPP): 7.5ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 68.4ms (2 crops) | Total Pipelined Latency: 75.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0442] Decode(MPP): 8.3ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): 36.4ms (1 crops) | Total Pipelined Latency: 40.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0443] Decode(MPP): 8.3ms | Resize(RGA): 2.5ms | YOLO(RKNN): 18.0ms | DINOv2(RKNN): 104.4ms (3 crops) | Total Pipelined Latency: 112.1ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0444] Decode(MPP): 8.0ms | Resize(RGA): 2.7ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 107.5ms (3 crops) | Total Pipelined Latency: 113.8ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0445] Decode(MPP): 8.1ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 104.0ms (3 crops) | Total Pipelined Latency: 112.0ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0446] Decode(MPP): 7.8ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): 103.4ms (3 crops) | Total Pipelined Latency: 110.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0447] Decode(MPP): 8.2ms | Resize(RGA): 3.2ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 36.4ms (1 crops) | Total Pipelined Latency: 41.1ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0448] Decode(MPP): 7.6ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 34.8ms (1 crops) | Total Pipelined Latency: 39.0ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0449] Decode(MPP): 8.4ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.5ms | DINOv2(RKNN): 105.1ms (3 crops) | Total Pipelined Latency: 112.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0450] Decode(MPP): 8.0ms | Resize(RGA): 2.8ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 105.7ms (3 crops) | Total Pipelined Latency: 113.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0451] Decode(MPP): 8.0ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 104.1ms (3 crops) | Total Pipelined Latency: 112.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0452] Decode(MPP): 8.3ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 68.8ms (2 crops) | Total Pipelined Latency: 74.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0453] Decode(MPP): 7.5ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 71.8ms (2 crops) | Total Pipelined Latency: 77.8ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0454] Decode(MPP): 7.5ms | Resize(RGA): 2.5ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 106.5ms (3 crops) | Total Pipelined Latency: 112.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0455] Decode(MPP): 7.8ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): 36.1ms (1 crops) | Total Pipelined Latency: 40.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0456] Decode(MPP): 8.3ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 72.5ms (2 crops) | Total Pipelined Latency: 78.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0457] Decode(MPP): 8.3ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 72.7ms (2 crops) | Total Pipelined Latency: 78.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0458] Decode(MPP): 8.1ms | Resize(RGA): 2.8ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 109.3ms (3 crops) | Total Pipelined Latency: 116.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0459] Decode(MPP): 8.3ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 34.3ms (1 crops) | Total Pipelined Latency: 39.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0460] Decode(MPP): 8.4ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): 34.6ms (1 crops) | Total Pipelined Latency: 38.8ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0461] Decode(MPP): 7.5ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 34.0ms (1 crops) | Total Pipelined Latency: 38.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0462] Decode(MPP): 8.3ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 102.0ms (3 crops) | Total Pipelined Latency: 108.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0463] Decode(MPP): 7.6ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 107.4ms (3 crops) | Total Pipelined Latency: 114.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0464] Decode(MPP): 7.9ms | Resize(RGA): 3.5ms | YOLO(RKNN): 17.7ms | DINOv2(RKNN): 104.4ms (3 crops) | Total Pipelined Latency: 113.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0465] Decode(MPP): 8.1ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 70.3ms (2 crops) | Total Pipelined Latency: 77.0ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0466] Decode(MPP): 7.9ms | Resize(RGA): 3.0ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 36.1ms (1 crops) | Total Pipelined Latency: 40.6ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0467] Decode(MPP): 8.5ms | Resize(RGA): 2.9ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 71.1ms (2 crops) | Total Pipelined Latency: 76.7ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0468] Decode(MPP): 8.2ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 34.4ms (1 crops) | Total Pipelined Latency: 39.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0469] Decode(MPP): 8.3ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 104.8ms (3 crops) | Total Pipelined Latency: 112.4ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0470] Decode(MPP): 7.8ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): 34.5ms (1 crops) | Total Pipelined Latency: 39.3ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0471] Decode(MPP): 8.1ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 34.8ms (1 crops) | Total Pipelined Latency: 39.2ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0472] Decode(MPP): 8.2ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 72.4ms (2 crops) | Total Pipelined Latency: 79.1ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0473] Decode(MPP): 7.9ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 71.1ms (2 crops) | Total Pipelined Latency: 77.0ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0474] Decode(MPP): 7.6ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 72.3ms (2 crops) | Total Pipelined Latency: 77.9ms
2026-07-20 18:14:38.025 [DEBUG] [Frame 0475] Decode(MPP): 7.6ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 70.9ms (2 crops) | Total Pipelined Latency: 77.6ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0476] Decode(MPP): 7.9ms | Resize(RGA): 3.5ms | YOLO(RKNN): 18.8ms | DINOv2(RKNN): 107.8ms (3 crops) | Total Pipelined Latency: 115.3ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0477] Decode(MPP): 8.5ms | Resize(RGA): 3.3ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 71.5ms (2 crops) | Total Pipelined Latency: 77.8ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0478] Decode(MPP): 8.2ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.6ms | DINOv2(RKNN): 102.4ms (3 crops) | Total Pipelined Latency: 110.5ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0479] Decode(MPP): 8.2ms | Resize(RGA): 3.1ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 107.9ms (3 crops) | Total Pipelined Latency: 114.6ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0480] Decode(MPP): 7.5ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.3ms | DINOv2(RKNN): 34.0ms (1 crops) | Total Pipelined Latency: 38.8ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0481] Decode(MPP): 8.0ms | Resize(RGA): 3.4ms | YOLO(RKNN): 18.2ms | DINOv2(RKNN): 36.4ms (1 crops) | Total Pipelined Latency: 41.1ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0482] Decode(MPP): 7.8ms | Resize(RGA): 2.5ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 69.6ms (2 crops) | Total Pipelined Latency: 74.6ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0483] Decode(MPP): 7.8ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.5ms | DINOv2(RKNN): 109.3ms (3 crops) | Total Pipelined Latency: 116.1ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0484] Decode(MPP): 7.8ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.1ms | DINOv2(RKNN): 104.9ms (3 crops) | Total Pipelined Latency: 111.6ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0485] Decode(MPP): 8.3ms | Resize(RGA): 3.0ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 36.3ms (1 crops) | Total Pipelined Latency: 40.7ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0486] Decode(MPP): 8.5ms | Resize(RGA): 2.8ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 69.7ms (2 crops) | Total Pipelined Latency: 75.1ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0487] Decode(MPP): 8.3ms | Resize(RGA): 3.3ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 104.4ms (3 crops) | Total Pipelined Latency: 111.6ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0488] Decode(MPP): 7.7ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 70.9ms (2 crops) | Total Pipelined Latency: 76.7ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0489] Decode(MPP): 7.7ms | Resize(RGA): 2.6ms | YOLO(RKNN): 17.9ms | DINOv2(RKNN): 103.3ms (3 crops) | Total Pipelined Latency: 110.0ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0490] Decode(MPP): 7.6ms | Resize(RGA): 2.6ms | YOLO(RKNN): 18.7ms | DINOv2(RKNN): 108.6ms (3 crops) | Total Pipelined Latency: 115.2ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0491] Decode(MPP): 8.3ms | Resize(RGA): 3.3ms | YOLO(RKNN): 19.0ms | DINOv2(RKNN): 73.0ms (2 crops) | Total Pipelined Latency: 79.8ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0492] Decode(MPP): 7.7ms | Resize(RGA): 2.7ms | YOLO(RKNN): 17.6ms | DINOv2(RKNN): 108.3ms (3 crops) | Total Pipelined Latency: 116.4ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0493] Decode(MPP): 8.1ms | Resize(RGA): 3.1ms | YOLO(RKNN): 17.8ms | DINOv2(RKNN): 34.8ms (1 crops) | Total Pipelined Latency: 39.4ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0494] Decode(MPP): 8.1ms | Resize(RGA): 2.5ms | YOLO(RKNN): 18.4ms | DINOv2(RKNN): 108.3ms (3 crops) | Total Pipelined Latency: 116.0ms
2026-07-20 18:14:38.026 [DEBUG] [Frame 0495] Decode(MPP): 8.0ms | Resize(RGA): 3.2ms | YOLO(RKNN): 18.9ms | DINOv2(RKNN): 69.6ms (2 crops) | Total Pipelined Latency: 75.2ms
