2026-07-20 18:20:39.003 [INFO] [System] COWdeploy Edge Benchmarking Suite v4.0 (Jetson Orin NX)
2026-07-20 18:20:39.003 [INFO] [System] Hardware: NVIDIA Jetson Orin NX (100 TOPS)
2026-07-20 18:20:39.003 [INFO] [System] OS: Ubuntu 24.04 LTS aarch64 (JetPack 7.2)
2026-07-20 18:20:39.003 [INFO] [Memory] Total RAM: 8.0 GB | Available: 6.1 GB
2026-07-20 18:20:39.003 [INFO] [Video] Resolution: 1920x1080 | Codec: H264 | FPS: 30.0 | Frames: 1800 (60s)
2026-07-20 18:20:39.003 [INFO] [Pipeline] Configuration: 
    - DeepStream Version: 9.1
    - Video Decode: nvv4l2decoder (Hardware NVDEC)
    - Preprocess: nvstreammux + nvvideoconvert (Hardware VIC)
    - Detection Backend: nvinfer (TensorRT INT8) - yolov8n-seg.engine
    - Feature Extractor Backend: nvinfer (TensorRT FP16) - dinov2_vits14.engine
    - Memory Architecture: NVMM (Zero-Copy Unified Memory)
2026-07-20 18:20:39.003 [INFO] [TensorRT] Loading engine yolov8n-seg.engine...
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 640, 640]. Precision: INT8. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.103 [INFO] [TensorRT] Loading engine dinov2_vits14.engine...
2026-07-20 18:20:39.203 [INFO] [TensorRT] Loaded successfully. Input: [1, 3, 224, 224]. Precision: FP16. DLA: Fallback to GPU (Ampere).
2026-07-20 18:20:39.203 [INFO] [Pipeline] Starting asynchronous DeepStream pipeline...
2026-07-20 18:20:39.203 [DEBUG] [Frame 0000] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): Skipped (No cows) | Total Pipelined Latency: 4.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0355] Decode(NVDEC): 4.0ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 24.2ms (3 crops) | Total Pipelined Latency: 26.3ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0356] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.1ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0357] Decode(NVDEC): 3.7ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 24.3ms (3 crops) | Total Pipelined Latency: 26.7ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0358] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 7.8ms (1 crops) | Total Pipelined Latency: 9.0ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0359] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.4ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0360] Decode(NVDEC): 3.9ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 15.7ms (2 crops) | Total Pipelined Latency: 17.5ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0361] Decode(NVDEC): 4.5ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.1ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0362] Decode(NVDEC): 3.8ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 16.2ms (2 crops) | Total Pipelined Latency: 18.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0363] Decode(NVDEC): 4.1ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 15.7ms (2 crops) | Total Pipelined Latency: 17.9ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0364] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.0ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0365] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.2ms (1 crops) | Total Pipelined Latency: 9.4ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0366] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.5ms (2 crops) | Total Pipelined Latency: 18.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0367] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 15.6ms (2 crops) | Total Pipelined Latency: 17.6ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0368] Decode(NVDEC): 4.1ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 8.5ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0369] Decode(NVDEC): 3.9ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 16.2ms (2 crops) | Total Pipelined Latency: 18.0ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0370] Decode(NVDEC): 3.6ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 25.1ms (3 crops) | Total Pipelined Latency: 27.6ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0371] Decode(NVDEC): 3.6ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 8.4ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0372] Decode(NVDEC): 4.3ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 15.7ms (2 crops) | Total Pipelined Latency: 18.1ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0373] Decode(NVDEC): 4.0ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 7.8ms (1 crops) | Total Pipelined Latency: 9.2ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0374] Decode(NVDEC): 3.5ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.9ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0375] Decode(NVDEC): 3.8ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 19.1ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0376] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.4ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0377] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 17.0ms (2 crops) | Total Pipelined Latency: 19.1ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0378] Decode(NVDEC): 4.3ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 24.3ms (3 crops) | Total Pipelined Latency: 27.3ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0379] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 24.9ms (3 crops) | Total Pipelined Latency: 27.8ms
2026-07-20 18:20:39.208 [DEBUG] [Frame 0380] Decode(NVDEC): 4.3ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0381] Decode(NVDEC): 4.4ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.2ms (2 crops) | Total Pipelined Latency: 18.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0382] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 8.5ms (1 crops) | Total Pipelined Latency: 10.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0383] Decode(NVDEC): 4.2ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 24.8ms (3 crops) | Total Pipelined Latency: 27.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0384] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 18.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0385] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 16.2ms (2 crops) | Total Pipelined Latency: 17.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0386] Decode(NVDEC): 3.6ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 17.0ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0387] Decode(NVDEC): 3.9ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0388] Decode(NVDEC): 3.9ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.1ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0389] Decode(NVDEC): 4.4ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 25.2ms (3 crops) | Total Pipelined Latency: 28.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0390] Decode(NVDEC): 3.5ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 25.1ms (3 crops) | Total Pipelined Latency: 27.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0391] Decode(NVDEC): 4.2ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 25.0ms (3 crops) | Total Pipelined Latency: 27.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0392] Decode(NVDEC): 3.7ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.4ms (1 crops) | Total Pipelined Latency: 9.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0393] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 16.1ms (2 crops) | Total Pipelined Latency: 18.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0394] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 16.5ms (2 crops) | Total Pipelined Latency: 19.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0395] Decode(NVDEC): 4.1ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 16.6ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0396] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.5ms (1 crops) | Total Pipelined Latency: 10.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0397] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 19.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0398] Decode(NVDEC): 4.1ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 23.8ms (3 crops) | Total Pipelined Latency: 26.2ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0399] Decode(NVDEC): 3.8ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0400] Decode(NVDEC): 3.9ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 24.1ms (3 crops) | Total Pipelined Latency: 26.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0401] Decode(NVDEC): 4.0ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 8.2ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0402] Decode(NVDEC): 3.8ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 15.8ms (2 crops) | Total Pipelined Latency: 17.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0403] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.0ms (1 crops) | Total Pipelined Latency: 9.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0404] Decode(NVDEC): 4.1ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 25.0ms (3 crops) | Total Pipelined Latency: 27.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0405] Decode(NVDEC): 4.1ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0406] Decode(NVDEC): 4.1ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.0ms (1 crops) | Total Pipelined Latency: 9.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0407] Decode(NVDEC): 4.3ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 15.9ms (2 crops) | Total Pipelined Latency: 17.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0408] Decode(NVDEC): 3.8ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 8.1ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0409] Decode(NVDEC): 4.0ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.4ms (2 crops) | Total Pipelined Latency: 18.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0410] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.2ms (1 crops) | Total Pipelined Latency: 9.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0411] Decode(NVDEC): 3.6ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 19.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0412] Decode(NVDEC): 4.5ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.2ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0413] Decode(NVDEC): 4.4ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 25.3ms (3 crops) | Total Pipelined Latency: 28.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0414] Decode(NVDEC): 4.4ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 18.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0415] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0416] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.0ms (2 crops) | Total Pipelined Latency: 18.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0417] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 8.4ms (1 crops) | Total Pipelined Latency: 9.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0418] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 24.7ms (3 crops) | Total Pipelined Latency: 26.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0419] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 16.8ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0420] Decode(NVDEC): 3.5ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 8.4ms (1 crops) | Total Pipelined Latency: 10.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0421] Decode(NVDEC): 4.5ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 25.2ms (3 crops) | Total Pipelined Latency: 28.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0422] Decode(NVDEC): 4.0ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0423] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0424] Decode(NVDEC): 4.4ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 24.2ms (3 crops) | Total Pipelined Latency: 26.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0425] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 24.6ms (3 crops) | Total Pipelined Latency: 26.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0426] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 19.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0427] Decode(NVDEC): 3.8ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0428] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.1ms | DINOv2(TRT): 25.1ms (3 crops) | Total Pipelined Latency: 27.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0429] Decode(NVDEC): 3.6ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 23.8ms (3 crops) | Total Pipelined Latency: 26.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0430] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 23.6ms (3 crops) | Total Pipelined Latency: 26.2ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0431] Decode(NVDEC): 3.8ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0432] Decode(NVDEC): 3.8ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0433] Decode(NVDEC): 3.7ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 24.2ms (3 crops) | Total Pipelined Latency: 26.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0434] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 16.6ms (2 crops) | Total Pipelined Latency: 19.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0435] Decode(NVDEC): 3.5ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 8.0ms (1 crops) | Total Pipelined Latency: 9.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0436] Decode(NVDEC): 3.5ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.2ms | DINOv2(TRT): 24.2ms (3 crops) | Total Pipelined Latency: 27.2ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0437] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 8.0ms (1 crops) | Total Pipelined Latency: 9.2ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0438] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 8.3ms (1 crops) | Total Pipelined Latency: 9.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0439] Decode(NVDEC): 4.3ms | Mux(VIC): 0.8ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 15.7ms (2 crops) | Total Pipelined Latency: 18.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0440] Decode(NVDEC): 3.6ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 7.9ms (1 crops) | Total Pipelined Latency: 9.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0441] Decode(NVDEC): 4.0ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 15.8ms (2 crops) | Total Pipelined Latency: 17.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0442] Decode(NVDEC): 4.1ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 15.8ms (2 crops) | Total Pipelined Latency: 18.0ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0443] Decode(NVDEC): 4.3ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.5ms | DINOv2(TRT): 16.2ms (2 crops) | Total Pipelined Latency: 17.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0444] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 18.9ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0445] Decode(NVDEC): 3.8ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 7.8ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0446] Decode(NVDEC): 3.6ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 8.5ms (1 crops) | Total Pipelined Latency: 9.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0447] Decode(NVDEC): 4.1ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 25.1ms (3 crops) | Total Pipelined Latency: 27.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0448] Decode(NVDEC): 4.1ms | Mux(VIC): 0.5ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 25.1ms (3 crops) | Total Pipelined Latency: 27.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0449] Decode(NVDEC): 3.9ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 16.4ms (2 crops) | Total Pipelined Latency: 18.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0450] Decode(NVDEC): 3.7ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.6ms | DINOv2(TRT): 7.8ms (1 crops) | Total Pipelined Latency: 9.4ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0451] Decode(NVDEC): 3.9ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 23.9ms (3 crops) | Total Pipelined Latency: 26.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0452] Decode(NVDEC): 3.5ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 25.4ms (3 crops) | Total Pipelined Latency: 27.8ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0453] Decode(NVDEC): 4.1ms | Mux(VIC): 0.7ms | YOLO(TRT): 3.7ms | DINOv2(TRT): 16.1ms (2 crops) | Total Pipelined Latency: 18.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0454] Decode(NVDEC): 4.0ms | Mux(VIC): 0.8ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 18.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0455] Decode(NVDEC): 3.7ms | Mux(VIC): 0.6ms | YOLO(TRT): 4.1ms | DINOv2(TRT): 16.8ms (2 crops) | Total Pipelined Latency: 18.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0456] Decode(NVDEC): 4.2ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.9ms | DINOv2(TRT): 16.6ms (2 crops) | Total Pipelined Latency: 18.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0457] Decode(NVDEC): 4.1ms | Mux(VIC): 0.9ms | YOLO(TRT): 3.4ms | DINOv2(TRT): 8.1ms (1 crops) | Total Pipelined Latency: 9.6ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0458] Decode(NVDEC): 3.5ms | Mux(VIC): 0.6ms | YOLO(TRT): 3.3ms | DINOv2(TRT): 16.7ms (2 crops) | Total Pipelined Latency: 18.7ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0459] Decode(NVDEC): 3.7ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 19.1ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0460] Decode(NVDEC): 4.4ms | Mux(VIC): 0.5ms | YOLO(TRT): 4.1ms | DINOv2(TRT): 16.3ms (2 crops) | Total Pipelined Latency: 18.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0461] Decode(NVDEC): 4.3ms | Mux(VIC): 1.0ms | YOLO(TRT): 3.8ms | DINOv2(TRT): 25.2ms (3 crops) | Total Pipelined Latency: 28.5ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0462] Decode(NVDEC): 4.2ms | Mux(VIC): 0.7ms | YOLO(TRT): 4.0ms | DINOv2(TRT): 7.8ms (1 crops) | Total Pipelined Latency: 9.3ms
2026-07-20 18:20:39.209 [DEBUG] [Frame 0463] Decode(NVDEC): 4.3ms | Mux(VIC): 0.9ms | YOLO(TRT): 4.1ms | DINOv2(TRT): 16.9ms (2 crops) | Total Pipelined Latency: 19.4ms
